row_type,parameter,module,quantity,eta,multiplier,direct_probability,row_status,profile_status,is_expansion_node,is_adaptive_node,direction,closest_proportional_crossing,probability_error,probability_resolution_pass,relative_multiplier_resolution_pass,crossing_exists,observed_nonmonotonic,search_guard_reached,numerical_issues
profile,r_mL,LAI,nominal arithmetic mean,-0.8,0.44932896411722156,0.170651798422617,ok,crossing_resolved,True,False,,,,,,True,False,False,
profile,r_mL,LAI,nominal arithmetic mean,-0.76,0.46766642700990924,0.16745836786821938,ok,crossing_resolved,False,False,,,,,,True,False,False,
profile,r_mL,LAI,nominal arithmetic mean,-0.7200000000000001,0.4867522559599716,0.16419041149586117,ok,crossing_resolved,False,False,,,,,,True,False,False,
profile,r_mL,LAI,nominal arithmetic mean,-0.68,0.5066169923655895,0.1608492321193799,ok,crossing_resolved,False,False,,,,,,True,False,False,
profile,r_mL,LAI,nominal arithmetic mean,-0.64,0.5272924240430485,0.1574364531649335,ok,crossing_resolved,False,False,,,,,,True,False,False,
profile,r_mL,LAI,nominal arithmetic mean,-0.6000000000000001,0.5488116360940264,0.153954037830129,ok,crossing_resolved,False,False,,,,,,True,False,False,
profile,r_mL,LAI,nominal arithmetic mean,-0.56,0.5712090638488149,0.150404307681326,ok,crossing_resolved,False,False,,,,,,True,False,False,
profile,r_mL,LAI,nominal arithmetic mean,-0.52,0.5945205479701944,0.14678996045123857,ok,crossing_resolved,False,False,,,,,,True,False,False,
profile,r_mL,LAI,nominal arithmetic mean,-0.48000000000000004,0.6187833918061408,0.14311408677373305,ok,crossing_resolved,False,False,,,,,,True,False,False,
profile,r_mL,LAI,nominal arithmetic mean,-0.44000000000000006,0.6440364210831413,0.1393801855629519,ok,crossing_resolved,False,False,,,,,,True,False,False,
profile,r_mL,LAI,nominal arithmetic mean,-0.4,0.6703200460356393,0.13559217770803028,ok,crossing_resolved,True,False,,,,,,True,False,False,
profile,r_mL,LAI,nominal arithmetic mean,-0.38,0.6838614092123558,0.13367922736356236,ok,crossing_resolved,False,False,,,,,,True,False,False,
profile,r_mL,LAI,nominal arithmetic mean,-0.36000000000000004,0.697676326071031,0.13175441771120375,ok,crossing_resolved,False,False,,,,,,True,False,False,
profile,r_mL,LAI,nominal arithmetic mean,-0.34,0.7117703227626097,0.1298183623195956,ok,crossing_resolved,False,False,,,,,,True,False,False,
